Partner;Partner_region_zone;Appointment ID;URL;Calendar Name;Date Offered;Time Offered;Link Text;Availability
"The Reef;the_reef_sfo1_zone_a;31364836;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=31364836;710 Labs List Deliveries (Pacific Time);7/5/2026;11:00 AM;11:00am PDT Sunday, July 5, 2026;16"
"The Reef;the_reef_sfo1_zone_a;31364836;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=31364836;710 Labs List Deliveries (Pacific Time);7/5/2026;4:00 PM;4:00pm PDT Sunday, July 5, 2026;16"
"The Reef;the_reef_sfo1_zone_b;31364863;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=31364863;710 Labs List Deliveries (Pacific Time);7/5/2026;11:00 AM;11:00am PDT Sunday, July 5, 2026;16"
"The Reef;the_reef_sfo1_zone_b;31364863;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=31364863;710 Labs List Deliveries (Pacific Time);7/5/2026;4:00 PM;4:00pm PDT Sunday, July 5, 2026;16"
"The Reef;the_reef_sfo1_zone_c;31364887;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=31364887;710 Labs List Deliveries (Pacific Time);7/5/2026;11:00 AM;11:00am PDT Sunday, July 5, 2026;16"
"The Reef;the_reef_sfo1_zone_c;31364887;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=31364887;710 Labs List Deliveries (Pacific Time);7/5/2026;4:00 PM;4:00pm PDT Sunday, July 5, 2026;16"
"The Reef;the_reef_sfo1_zone_d;31364905;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=31364905;710 Labs List Deliveries (Pacific Time);7/3/2026;10:00 AM;10:00am PDT Friday, July 3, 2026;12"
"The Reef;the_reef_sfo1_zone_d;31364905;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=31364905;710 Labs List Deliveries (Pacific Time);7/3/2026;2:00 PM;2:00pm PDT Friday, July 3, 2026;12"
"The Reef;the_reef_sfo1_zone_d;31364905;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=31364905;710 Labs List Deliveries (Pacific Time);7/3/2026;5:00 PM;5:00pm PDT Friday, July 3, 2026;12"
"The Reef;the_reef_sfo1_zone_d;31364905;https://koi-mandolin-afct.squarespace.com/config/scheduling/appointments.php?action=editAppointmentType&id=31364905;710 Labs List Deliveries (Pacific Time);7/4/2026;10:00 AM;10:00am PDT Saturday, July 4, 2026;12"
